iteration,PU1F,PU2F,J280,J269,PU1,PU2,T1,V2,PU4,PU5,PU6,PU7,T2,V2F,J300,J256,J289,J415,J14,J422,PU4F,PU5F,PU6F,PU7F,T3,T4,PU8,PU10,PU11,PU8F,PU10F,PU11F,J302,J306,J307,J317,T5,T6,T7
69,92.771986,92.789871,2.976994,36.839254,1.000000,1.000000,3.070025,1.000000,0.000000,0.000000,0.000000,0.000000,2.629707,80.204456,31.953901,76.386082,31.953901,68.797430,34.298696,33.398695,0.000000,0.000000,0.000000,0.000000,5.162551,3.360172,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.004284,64.743793,32.004284,60.743409,3.676027,5.282972,4.002606
70,92.733133,92.751006,2.977012,36.859808,1.000000,1.000000,3.097033,1.000000,0.000000,0.000000,0.000000,0.000000,2.700655,80.028954,32.007342,76.368978,32.007342,68.738287,34.351105,33.451104,0.000000,0.000000,0.000000,0.000000,5.145449,3.301027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.035037,64.713576,32.035037,60.681935,3.645810,5.264671,3.928617
71,92.694253,92.712115,2.977030,36.880374,1.000000,1.000000,3.124080,1.000000,0.000000,0.000000,0.000000,0.000000,2.771447,79.853908,32.060705,76.351878,32.060705,68.679137,34.403441,33.503440,0.000000,0.000000,0.000000,0.000000,5.128348,3.241881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.065813,64.683358,32.065813,60.620467,3.615592,5.246181,3.854884
72,92.655354,92.673205,2.977048,36.900947,1.000000,1.000000,3.151164,1.000000,0.000000,0.000000,0.000000,0.000000,2.842085,79.679319,32.113990,76.334777,32.113990,68.619996,34.455704,33.555703,0.000000,0.000000,0.000000,0.000000,5.111246,3.182736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.096612,64.653140,32.096612,60.559010,3.585374,5.227507,3.781403
73,92.616428,92.634268,2.977066,36.921531,1.000000,1.000000,3.178286,1.000000,0.000000,0.000000,0.000000,0.000000,2.912568,79.505188,32.167199,76.317675,32.167199,68.560850,34.507895,33.607894,0.000000,0.000000,0.000000,0.000000,5.094144,3.123590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.127434,64.622923,32.127434,60.497567,3.555157,5.208649,3.708171
74,92.929945,92.947875,2.976922,36.755655,1.000000,1.000000,3.205446,1.000000,0.000000,0.000000,0.000000,0.000000,2.982897,78.333911,32.122190,75.830317,32.122190,67.098580,34.456090,33.556089,0.000000,0.000000,0.000000,0.000000,5.077043,3.064445,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.019577,64.434950,32.019577,59.560691,3.524939,5.189612,3.635184
75,92.892523,92.910442,2.976939,36.775466,1.000000,1.000000,3.231197,1.000000,0.000000,0.000000,0.000000,0.000000,3.052190,78.157714,32.174240,75.810773,32.174240,67.019925,34.507124,33.607123,0.000000,0.000000,0.000000,0.000000,5.057498,2.986171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32.049052,64.401376,32.049052,59.470287,3.491364,5.166486,3.539873
76,93.750493,93.768660,2.976543,36.320577,1.000000,1.000000,3.256988,1.000000,0.000000,0.000000,0.000000,1.000000,3.121327,93.459737,29.384112,75.791225,29.344889,88.357370,31.991630,31.091629,0.000000,0.000000,0.000000,49.131333,5.037954,2.907893,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.618043,64.367801,31.618043,59.405659,3.457789,5.143120,3.443399
77,93.724303,93.742463,2.976555,36.334485,1.000000,1.000000,3.277481,1.000000,0.000000,0.000000,0.000000,1.000000,3.160539,93.369434,29.418515,75.771680,29.379306,88.409678,32.025365,31.125364,0.000000,0.000000,0.000000,49.121910,5.018410,2.968124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.639689,64.334226,31.639689,59.312343,3.424214,5.119608,3.349050
78,93.698102,93.716254,2.976567,36.348397,1.000000,1.000000,3.297989,1.000000,0.000000,0.000000,0.000000,1.000000,3.199679,93.279383,29.452874,75.752139,29.413680,88.461975,32.059057,31.159056,0.000000,0.000000,0.000000,49.112466,4.998865,3.028329,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.661343,64.300652,31.661343,59.232518,3.390640,5.095851,3.253108
79,93.671902,93.690047,2.976579,36.362308,1.000000,1.000000,3.318512,1.000000,0.000000,0.000000,0.000000,1.000000,3.238749,93.189609,29.487187,75.732597,29.448007,88.514226,32.092706,31.192705,0.000000,0.000000,0.000000,49.103018,4.979321,3.088507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.683004,64.267077,31.683004,59.152810,3.357065,5.071898,3.157433
80,93.645697,93.663835,2.976591,36.376219,1.000000,1.000000,3.339050,1.000000,0.000000,0.000000,0.000000,1.000000,3.277747,93.100119,29.521454,75.713051,29.482287,88.566446,32.126311,31.226310,0.000000,0.000000,0.000000,49.093560,4.959777,3.148658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.704670,64.233502,31.704670,59.073111,3.323490,5.047752,3.062019
81,93.619479,93.637609,2.976603,36.390136,1.000000,1.000000,3.359602,1.000000,0.000000,0.000000,0.000000,1.000000,3.316675,93.010921,29.555675,75.693503,29.516522,88.618649,32.159872,31.259871,0.000000,0.000000,0.000000,49.084084,4.940232,3.208783,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.726344,64.199927,31.726344,58.993425,3.289915,5.023416,2.966866
82,93.593260,93.611382,2.976616,36.404053,1.000000,1.000000,3.380168,1.000000,0.000000,0.000000,0.000000,1.000000,3.355532,92.922000,29.589849,75.673964,29.550710,88.670782,32.193389,31.293388,0.000000,0.000000,0.000000,49.074617,4.920688,3.268881,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.748023,64.166353,31.748023,58.913755,3.256340,4.998891,2.871969
83,93.567043,93.585158,2.976628,36.417966,1.000000,1.000000,3.400749,1.000000,0.000000,0.000000,0.000000,1.000000,3.394318,92.833351,29.623979,75.654414,29.584854,88.722901,32.226863,31.326862,0.000000,0.000000,0.000000,49.065131,4.901144,3.328952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.769708,64.132778,31.769708,58.834103,3.222765,4.974179,2.777327
84,93.540814,93.558920,2.976640,36.431885,1.000000,1.000000,3.421343,1.000000,0.000000,0.000000,0.000000,1.000000,3.433035,92.744986,29.658063,75.634875,29.618952,88.774976,32.260295,31.360294,0.000000,0.000000,0.000000,49.055641,4.881599,3.388996,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.791399,64.099203,31.791399,58.754473,3.189190,4.949282,2.682937
85,93.514582,93.532681,2.976652,36.445804,1.000000,1.000000,3.441952,1.000000,0.000000,0.000000,0.000000,1.000000,3.471682,92.656896,29.692101,75.615331,29.653004,88.827047,32.293683,31.393682,0.000000,0.000000,0.000000,49.046127,4.862055,3.449014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.813096,64.065629,31.813096,58.674868,3.155615,4.924202,2.588795
86,94.031191,94.049440,2.976412,36.171429,1.000000,1.000000,3.462574,1.000000,0.000000,0.000000,0.000000,1.000000,3.510260,90.933339,29.618089,74.944465,29.578717,88.399580,32.209552,31.309551,0.000000,0.000000,0.000000,49.232088,4.842511,3.509004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.639394,63.324660,31.639394,58.536875,3.122041,4.898941,2.494901
87,94.007653,94.025895,2.976423,36.183942,1.000000,1.000000,3.480620,1.000000,0.000000,0.000000,0.000000,1.000000,3.547148,90.841583,29.650243,74.921911,29.610883,88.447026,32.241051,31.341050,0.000000,0.000000,0.000000,49.224066,4.819960,3.563059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.658670,63.278615,31.658670,58.443944,3.075996,4.873272,2.401056
88,93.984079,94.002314,2.976434,36.196473,1.000000,1.000000,3.498683,1.000000,0.000000,0.000000,0.000000,1.000000,3.583962,90.749879,29.682341,74.899359,29.642993,88.494468,32.272494,31.372493,0.000000,0.000000,0.000000,49.216014,4.797410,3.617091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.677961,63.232571,31.677961,58.362987,3.029952,4.847383,2.305866
89,93.960496,93.978725,2.976445,36.209008,1.000000,1.000000,3.516764,1.000000,0.000000,0.000000,0.000000,1.000000,3.620702,90.658495,29.714390,74.876811,29.675054,88.541868,32.303892,31.403891,0.000000,0.000000,0.000000,49.207956,4.774859,3.671101,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.697260,63.186527,31.697260,58.282142,2.983907,4.821316,2.210919
90,93.936909,93.955130,2.976456,36.221544,1.000000,1.000000,3.534861,1.000000,0.000000,0.000000,0.000000,1.000000,3.657369,90.567421,29.746392,74.854259,29.707068,88.589240,32.335245,31.435244,0.000000,0.000000,0.000000,49.199887,4.752308,3.725087,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.716569,63.140483,31.716569,58.201331,2.937863,4.795073,2.116211
91,93.913318,93.931533,2.976467,36.234080,1.000000,1.000000,3.552976,1.000000,0.000000,0.000000,0.000000,1.000000,3.693962,90.476661,29.778348,74.831709,29.739036,88.636572,32.366554,31.466553,0.000000,0.000000,0.000000,49.191811,4.729758,3.779051,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.735887,63.094439,31.735887,58.120556,2.891818,4.768655,2.021741
92,93.889715,93.907923,2.976478,36.246622,1.000000,1.000000,3.571108,1.000000,0.000000,0.000000,0.000000,1.000000,3.730482,90.386225,29.810255,74.809159,29.770955,88.683854,32.397817,31.497816,0.000000,0.000000,0.000000,49.183735,4.707207,3.832992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.755214,63.048395,31.755214,58.039819,2.845774,4.742065,1.927505
93,93.866109,93.884310,2.976489,36.259165,1.000000,1.000000,3.589257,1.000000,0.000000,0.000000,0.000000,1.000000,3.766929,90.296079,29.842119,74.786610,29.802830,88.731178,32.429038,31.529037,0.000000,0.000000,0.000000,49.175612,4.684657,3.886911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.774550,63.002350,31.774550,57.959123,2.799729,4.715304,1.833503
94,93.842493,93.860687,2.976500,36.271711,1.000000,1.000000,3.607422,1.000000,0.000000,0.000000,0.000000,1.000000,3.803304,90.206260,29.873933,74.764058,29.834657,88.778408,32.460214,31.560213,0.000000,0.000000,0.000000,49.167510,4.662106,3.940806,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.793894,62.956306,31.793894,57.878468,2.753685,4.688373,1.739732
95,93.818873,93.837060,2.976511,36.284259,1.000000,1.000000,3.625604,1.000000,0.000000,0.000000,0.000000,1.000000,3.839606,90.116738,29.905703,74.741511,29.866439,88.825627,32.491347,31.591346,0.000000,0.000000,0.000000,49.159388,4.639555,3.994679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.813247,62.910262,31.813247,57.797857,2.707640,4.661274,1.646189
96,93.795246,93.813427,2.976522,36.296809,1.000000,1.000000,3.643802,1.000000,0.000000,0.000000,0.000000,1.000000,3.875836,90.027534,29.937425,74.718961,29.898173,88.872805,32.522435,31.622434,0.000000,0.000000,0.000000,49.151261,4.617005,4.048529,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.832608,62.864218,31.832608,57.717290,2.661596,4.634009,1.552873
97,93.771613,93.789786,2.976533,36.309361,1.000000,1.000000,3.662017,1.000000,0.000000,0.000000,0.000000,1.000000,3.911995,89.938630,29.969101,74.696407,29.929861,88.919967,32.553479,31.653478,0.000000,0.000000,0.000000,49.143116,4.594454,4.102356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,31.851978,62.818174,31.851978,57.636771,2.615551,4.606578,1.459781
98,94.770638,94.789102,2.976068,35.777766,1.000000,1.000000,3.680248,1.000000,0.000000,0.000000,0.000000,1.000000,3.948082,85.831829,29.771284,73.650439,29.731703,88.283365,32.331099,31.431098,0.000000,0.000000,0.000000,49.373083,4.571904,4.156159,0.000000,1.000000,0.000000,0.000000,32.853228,0.000000,28.538792,62.244376,28.412775,68.628509,2.569507,4.578985,1.366912
99,94.761203,94.779664,2.976072,35.782796,1.000000,1.000000,3.684746,1.000000,0.000000,0.000000,0.000000,1.000000,3.980333,85.692027,29.796821,73.623756,29.757251,88.322687,32.355716,31.455715,0.000000,0.000000,0.000000,49.365885,4.545219,4.201169,0.000000,1.000000,0.000000,0.000000,32.847435,0.000000,28.545462,62.190658,28.419482,68.652252,2.515788,4.601478,1.412040
100,94.751702,94.770161,2.976077,35.787860,1.000000,1.000000,3.689293,1.000000,0.000000,0.000000,0.000000,1.000000,4.012466,85.552802,29.822301,73.597070,29.782741,88.361947,32.380281,31.480280,0.000000,0.000000,0.000000,49.358687,4.518535,4.246159,0.000000,1.000000,0.000000,0.000000,32.840819,0.000000,28.552396,62.136941,28.426463,68.683385,2.462070,4.623973,1.454112
