iteration,PLC1.PLC1_J269,PLC1.PLC1_J280,PLC1.PLC1_PU1F,PLC1.PLC1_PU2F,PLC2.PLC2_T1,PLC3.PLC3_J14,PLC3.PLC3_J256,PLC3.PLC3_J289,PLC3.PLC3_J300,PLC3.PLC3_J415,PLC3.PLC3_J422,PLC3.PLC3_PU4F,PLC3.PLC3_PU5F,PLC3.PLC3_PU6F,PLC3.PLC3_PU7F,PLC3.PLC3_T2,PLC3.PLC3_V2F,PLC4.PLC4_T3,PLC4.PLC4_T4,PLC5.PLC5_J302,PLC5.PLC5_J306,PLC5.PLC5_J307,PLC5.PLC5_J317,PLC5.PLC5_PU10F,PLC5.PLC5_PU11F,PLC5.PLC5_PU8F,PLC7.PLC7_T5,PLC8.PLC8_T6,PLC9.PLC9_T7
90,36.221542,2.976456,93.936913,93.955132,3.534861,32.335243,74.854256,29.707067,29.746393,88.589241,31.435244,0.000000,0.000000,0.000000,49.199886,3.657369,90.567421,4.752308,3.725087,31.716570,63.140484,31.716570,58.201332,0.000000,0.000000,0.000000,2.937863,4.795073,2.116211
91,36.234081,2.976467,93.913315,93.931534,3.552976,32.366554,74.831711,29.739035,29.778347,88.636574,31.466553,0.000000,0.000000,0.000000,49.191811,3.693962,90.476662,4.729758,3.779051,31.735888,63.094440,31.735888,58.120556,0.000000,0.000000,0.000000,2.891818,4.768655,2.021740
92,36.246624,2.976478,93.889717,93.907921,3.571108,32.397816,74.809158,29.770954,29.810255,88.683853,31.497816,0.000000,0.000000,0.000000,49.183735,3.730482,90.386223,4.707207,3.832993,31.755215,63.048393,31.755215,58.039818,0.000000,0.000000,0.000000,2.845773,4.742065,1.927505
93,36.259163,2.976489,93.866112,93.884308,3.589257,32.429039,74.786613,29.802830,29.842119,88.731178,31.529037,0.000000,0.000000,0.000000,49.175613,3.766929,90.296082,4.684657,3.886911,31.774549,63.002350,31.774549,57.959122,0.000000,0.000000,0.000000,2.799729,4.715303,1.833503
94,36.271709,2.976500,93.842491,93.860687,3.607422,32.460213,74.764061,29.834656,29.873934,88.778404,31.560213,0.000000,0.000000,0.000000,49.167511,3.803303,90.206261,4.662106,3.940806,31.793894,62.956306,31.793894,57.878468,0.000000,0.000000,0.000000,2.753685,4.688373,1.739732
95,36.284260,2.976511,93.818871,93.837059,3.625604,32.491348,74.741508,29.866438,29.905703,88.825630,31.591345,0.000000,0.000000,0.000000,49.159389,3.839606,90.116737,4.639555,3.994679,31.813248,62.910263,31.813248,57.797855,0.000000,0.000000,0.000000,2.707640,4.661274,1.646189
96,36.296810,2.976522,93.795242,93.813423,3.643802,32.522434,74.718964,29.898172,29.937426,88.872803,31.622433,0.000000,0.000000,0.000000,49.151260,3.875836,90.027534,4.617005,4.048529,31.832607,62.864220,31.832607,57.717289,0.000000,0.000000,0.000000,2.661596,4.634008,1.552873
97,36.309361,2.976533,93.771614,93.789787,3.662017,32.553478,74.696404,29.929861,29.969101,88.919968,31.653479,0.000000,0.000000,0.000000,49.143116,3.911994,89.938629,4.594454,4.102355,31.851978,62.818172,31.851978,57.636772,0.000000,0.000000,0.000000,2.615551,4.606578,1.459781
98,35.777767,2.976068,94.770638,94.789101,3.680248,32.331100,73.650436,29.731703,29.771284,88.283363,31.431099,0.000000,0.000000,0.000000,49.373081,3.948082,85.831833,4.571904,4.156159,28.538792,62.244377,28.412775,68.628510,32.853230,0.000000,0.000000,2.569507,4.578985,1.366912
99,35.782795,2.976072,94.761200,94.779663,3.684746,32.355717,73.623756,29.757252,29.796822,88.322685,31.455715,0.000000,0.000000,0.000000,49.365887,3.980333,85.692024,4.545219,4.201169,28.545462,62.190659,28.419481,68.652252,32.847435,0.000000,0.000000,2.515789,4.601478,1.412040
